Edad Ult Cos,Variedad,Suelo,Zona,Tenencia,Vejez,Destino 1=Semilla,Cod. T.Cultivo,Dist Km,Tipo Quema,T.Corte,Dosis Madurante,Lluvias (2 Meses Ant.),Lluvias Ciclo,Lluvias 0 -3,Lluvias tres a seis,Lluvias seis a nueve,Luvias 9 -FC,M3 Riego,DDUlt.Riego,Período,TCH,%Sac.Caña,Variedad_cod,Suelo_cod,Zona_cod,Tipo Quema_cod,T.Corte_cod
7.92,CC85-92,DESCONOCIDO,IP05,81.0,2.7075,0,1.0,13.8,Q.ACCIDENTAL,MANUAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201709,101.454545,10.02,34,22,4,1,0
14.98,CC97-7170,PALMICHE - PALMIRA,IP06,11.0,34.009,0,1.0,8.0,Q.PROGRAMADA,MANUAL,1.2,45.0,1382.0,61.0,391.0,205.0,725.0,26208.0,36,201709,150.705128,14.4187,41,67,5,2,0
14.88,CC01-1940,JAMAICA,IP05,11.0,2.753,0,1.0,20.0,VERDE,MECANIZADO,1.7,36.0,991.0,110.0,284.0,120.0,477.0,35679.6,246,201709,142.287817,13.693,6,43,4,4,1
14.42,CC85-92,MARSELLA,IP05,11.0,2.914,0,1.0,34.7,VERDE,MECANIZADO,1.7,31.0,851.0,65.0,262.0,129.0,395.0,28274.4,184,201709,139.144017,13.2865,34,56,4,4,1
16.46,RB73-2223,CORINTIAS ,IP06,51.0,2.511,0,1.0,5.5,VERDE,MANUAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201709,134.0475,12.586,51,19,5,4,0
17.31,CC85-92,MARSELLA,IP05,11.0,2.921,0,1.0,20.5,VERDE,MECANIZADO,1.5,36.0,1348.0,370.0,116.0,293.0,569.0,0.0,0,201709,101.525568,12.554,34,56,4,4,1
11.76,CC97-7170,SAN LORENZO,IP03,51.0,1.874,0,1.0,16.9,VERDE,MECANIZADO,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201709,141.26275,12.5115,41,88,3,4,1
16.69,CC01-1940,BURRIGA ,IP03,51.0,3.008,0,1.0,32.2,VERDE,MECANIZADO,0.0,99.0,1178.0,305.0,117.0,197.0,559.0,0.0,0,201709,163.01463,12.4095,6,8,3,4,1
18.83,CC01-1940,GUABITO,IP03,11.0,3.887,0,1.0,36.2,VERDE,MECANIZADO,0.0,122.0,1726.0,289.0,172.0,264.0,1001.0,39798.0,335,201709,203.282242,12.2822,6,36,3,4,1
11.3,CC01-1940,NUEVO PICHICHI,IP03,31.0,28.646,0,1.0,46.4,Q.ACCIDENTAL,MECANIZADO,0.0,133.0,1290.0,377.0,359.0,416.0,138.0,7290.0,47,201709,154.975062,11.9775,6,62,3,1,1
11.93,CC93-4181,TESORO,IP03,51.0,10.17,0,1.0,16.9,Q.PROGRAMADA,MECANIZADO,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201709,130.83264,14.0947,39,96,3,2,1
14.62,CC85-92,NUEVO PICHICHI,IP03,51.0,2.333,0,1.0,29.4,VERDE,MECANIZADO,0.8,45.0,419.0,0.0,0.0,95.0,324.0,0.0,0,201709,134.30832,13.4565,34,62,3,4,1
15.11,RB73-2223,CERRITO-NIMA,IP01,11.0,45.137,0,1.0,9.5,Q.PROGRAMADA,MANUAL,1.0,90.0,1835.0,33.0,400.0,189.0,1213.0,9072.0,359,201709,135.367729,12.9751,51,14,1,2,0
10.91,CC85-92,VILLA,IP03,31.0,36.453,0,1.0,28.6,Q.ACCIDENTAL,MECANIZADO,0.0,65.0,898.0,291.0,222.0,320.0,65.0,61128.0,200,201709,80.091,12.3851,34,100,3,1,1
20.76,CC01-1940,VILLA,IP03,31.0,27.216,0,1.0,28.6,Q.ACCIDENTAL,MECANIZADO,0.0,65.0,1337.0,72.0,260.0,65.0,940.0,23310.0,340,201709,165.56024,11.775,6,100,3,1,1
14.52,CC01-1940,DESCONOCIDO,IP03,51.0,8.566,0,1.0,45.5,VERDE,MANUAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201709,207.6,11.752,6,22,3,4,0
14.59,CC01-1940,JUANCHITO ,IP05,11.0,2.453,0,1.0,34.7,VERDE,MECANIZADO,1.7,31.0,851.0,65.0,226.0,165.0,395.0,0.0,0,201709,163.383939,13.4539,6,48,4,4,1
16.36,CC85-92,DESCONOCIDO,IP03,51.0,27.105,0,1.0,45.5,VERDE,MANUAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201709,159.380582,12.2063,34,22,3,4,0
13.8,CC85-92,DESCONOCIDO,IP05,81.0,2.7075,0,1.0,30.5,NO DEF.,MECANIZADO,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201709,145.707777,11.8567,34,22,4,0,1
21.13,CC01-1940,JUANCHITO ,IP03,51.0,3.022,0,1.0,32.2,VERDE,MECANIZADO,1.0,99.0,1406.0,52.0,427.0,79.0,848.0,0.0,0,201709,129.17774,9.2859,6,48,3,4,1
