variedad,edad,cortes,lluvias,grupo_tenencia,pct_diatrea,tipocorte,madurada,dosismad,semsmad,vejez,mes,me,TCH,sacarosa,nivel_TCH,nivel_sacarosa,variedad_cod,tipocorte_cod,madurada_cod,nivel_TCH_num,nivel_sacarosa_num
CC01-1940,12.8,1,98,3,4.7,Mecanizado Verde,SI,1.0,5.0,5.2,8,7.7,185,12.1,Alto,Bajo,0,0,0,2,0
CC01-1940,11.5,3,74,3,2.2,Mecanizado Verde,SI,1.0,9.3,3.2,9,8.6,96,13.9,Bajo,Alto,0,0,0,0,2
CC01-1940,11.7,5,0,3,2.2,Mecanizado Verde,SI,0.8,8.9,3.2,9,9.2,124,12.2,Bajo,Bajo,0,0,0,0,0
CC01-1940,11.8,2,16,3,3.2,Mecanizado Verde,SI,1.0,5.3,2.8,8,8.2,149,12.5,Medio,Medio,0,0,0,1,1
CC01-1940,12.1,4,57,3,3.2,Mecanizado Verde,SI,1.0,9.4,9.3,9,10.1,126,13.3,Bajo,Alto,0,0,0,0,2
CC01-1940,12.1,6,0,3,1.5,Mecanizado Verde,SI,0.8,9.6,2.8,9,8.6,121,12.3,Bajo,Bajo,0,0,0,0,0
CC01-1940,12.8,1,106,2,1.0,Mecanizado Verde,SI,1.0,7.1,2.8,1,8.1,118,13.4,Bajo,Alto,0,0,0,0,2
CC01-1940,12.4,2,306,2,3.2,Mecanizado Verde,SI,1.2,8.7,2.7,1,8.8,139,11.1,Medio,Bajo,0,0,0,1,0
CC01-1940,17.4,3,719,2,2.9,Mecanizado Verde,SI,1.2,25.7,3.2,7,8.9,126,12.3,Bajo,Bajo,0,0,0,0,0
CC01-1940,12.8,4,286,2,2.1,Mecanizado Verde,SI,1.2,10.4,3.5,8,10.3,99,12.4,Bajo,Bajo,0,0,0,0,0
CC01-1940,12.9,5,127,2,3.8,Mecanizado Verde,SI,0.8,12.6,3.4,9,9.2,114,12.7,Bajo,Medio,0,0,0,0,1
CC01-1940,13.1,1,170,2,2.1,Mecanizado Verde,SI,1.2,9.1,19.8,4,7.5,141,12.8,Medio,Medio,0,0,0,1,1
CC01-1940,13.4,1,68,2,1.0,Mecanizado Verde,SI,0.8,11.7,2.5,3,6.4,149,13.5,Medio,Alto,0,0,0,1,2
CC01-1940,16.1,2,780,2,2.4,Mecanizado Verde,SI,1.2,25.9,2.7,7,8.3,176,12.9,Alto,Medio,0,0,0,2,1
CC01-1940,12.2,3,218,2,2.9,Mecanizado Verde,SI,1.5,7.9,2.8,7,6.7,134,12.6,Medio,Medio,0,0,0,1,1
CC01-1940,12.7,4,284,2,2.1,Mecanizado Verde,SI,1.2,10.3,3.0,8,10.4,114,13.4,Bajo,Alto,0,0,0,0,2
CC01-1940,12.9,5,123,2,3.8,Mecanizado Verde,SI,0.8,12.1,3.0,9,9.1,115,13.1,Bajo,Medio,0,0,0,0,1
CC01-1940,12.9,2,49,3,3.3,Mecanizado Verde,SI,0.8,9.9,3.2,9,9.8,153,12.7,Medio,Medio,0,0,0,1,1
CC01-1940,11.8,2,76,3,10.3,Mecanizado Verde,SI,0.8,8.1,2.7,9,8.7,125,14.2,Bajo,Alto,0,0,0,0,2
CC01-1940,12.5,2,0,3,4.0,Mecanizado Verde,SI,0.5,5.9,3.1,10,4.1,130,12.4,Bajo,Bajo,0,0,0,0,0
CC01-1940,12.8,2,0,3,5.9,Mecanizado Verde,SI,0.5,6.7,3.8,10,8.8,142,13.1,Medio,Medio,0,0,0,1,1
CC01-1940,13.3,1,0,3,4.0,Mecanizado Verde,SI,0.5,5.4,3.2,10,7.6,140,12.6,Medio,Medio,0,0,0,1,1
CC01-1940,13.4,1,0,3,4.0,Mecanizado Verde,SI,0.5,5.4,2.9,9,8.6,137,13.9,Medio,Alto,0,0,0,1,2
CC01-1940,13.5,1,0,3,4.0,Mecanizado Verde,SI,0.5,5.3,3.1,9,8.4,147,12.4,Medio,Bajo,0,0,0,1,0
CC01-1940,12.5,2,0,3,5.9,Mecanizado Verde,SI,0.5,6.6,2.7,10,7.9,134,13.5,Medio,Alto,0,0,0,1,2
CC01-1940,12.4,2,0,3,4.0,Mecanizado Verde,SI,0.5,6.1,3.3,10,9.2,121,14.3,Bajo,Alto,0,0,0,0,2
CC01-1940,14.2,1,0,3,5.9,Mecanizado Verde,SI,0.5,6.6,3.7,10,7.6,123,13.4,Bajo,Alto,0,0,0,0,2
CC01-1940,12.0,2,0,3,1.2,Mecanizado Verde,SI,0.5,7.3,3.8,10,8.4,79,14.1,Bajo,Alto,0,0,0,0,2
CC01-1940,12.4,2,0,3,1.2,Mecanizado Verde,SI,0.5,7.1,3.6,10,9.1,104,12.9,Bajo,Medio,0,0,0,0,1
